-15,-15,690,80,2.08,-15,-14,690,80,2.45,-15,-13,690,80,1.79,-15,-12,690,80,1.66,-15,-11,690,80,1.90,-15,-10,690,80,1.58,-15,-9,690,80,2.37,-15,-8,690,80,2.25,-15,-7,690,80,2.46,-15,-6,690,80,1.87,-15,-5,690,80,2.01,-15,-4,690,80,1.53,-15,-3,690,80,2.05,-15,-2,690,80,1.91,-15,-1,690,80,2.20,-15,1,690,80,2.40,-15,2,690,80,1.91,-15,3,690,80,1.94,-15,4,690,80,2.41,-15,5,690,80,1.80,-15,6,690,80,1.68,-15,7,690,80,2.04,-15,8,690,80,1.66,-15,9,690,80,1.91,-15,10,690,80,2.35,-15,11,690,80,2.36,-15,12,690,80,1.80,-15,13,690,80,2.13,-15,14,690,80,1.74,-15,15,690,80,2.42
-14,-15,690,80,2.49,-14,-14,690,80,2.34,-14,-13,690,80,1.76,-14,-12,690,80,2.23,-14,-11,690,80,2.36,-14,-10,690,80,1.74,-14,-9,690,80,1.70,-14,-8,690,80,2.21,-14,-7,690,80,1.84,-14,-6,690,80,1.68,-14,-5,690,80,1.92,-14,-4,690,80,2.33,-14,-3,690,80,2.24,-14,-2,690,80,1.91,-14,-1,690,80,1.77,-14,1,690,80,1.56,-14,2,690,80,1.80,-14,3,690,80,1.62,-14,4,690,80,2.14,-14,5,690,80,2.03,-14,6,690,80,2.45,-14,7,690,80,1.91,-14,8,690,80,2.40,-14,9,690,80,1.60,-14,10,690,80,1.83,-14,11,690,80,2.07,-14,12,690,80,2.45,-14,13,690,80,1.73,-14,14,690,80,1.69,-14,15,690,80,2.44
-13,-15,690,80,1.83,-13,-14,690,80,2.48,-13,-13,690,80,2.01,-13,-12,690,80,2.34,-13,-11,690,80,2.02,-13,-10,690,80,2.08,-13,-9,690,80,1.98,-13,-8,690,80,2.28,-13,-7,690,80,1.58,-13,-6,690,80,2.49,-13,-5,690,80,2.40,-13,-4,690,80,1.77,-13,-3,690,80,1.57,-13,-2,690,80,1.59,-13,-1,690,80,1.98,-13,1,690,80,1.54,-13,2,690,80,2.46,-13,3,690,80,2.03,-13,4,690,80,2.13,-13,5,690,80,1.91,-13,6,690,80,1.68,-13,7,690,80,2.03,-13,8,690,80,1.93,-13,9,690,80,2.48,-13,10,690,80,2.22,-13,11,690,80,1.85,-13,12,690,80,2.35,-13,13,690,80,1.84,-13,14,690,80,2.24,-13,15,690,80,1.86
-12,-15,690,80,2.46,-12,-14,690,80,1.63,-12,-13,690,80,1.51,-12,-12,690,80,1.80,-12,-11,690,80,2.14,-12,-10,690,80,1.58,-12,-9,690,80,1.72,-12,-8,690,80,1.91,-12,-7,690,80,1.83,-12,-6,690,80,1.56,-12,-5,690,80,2.18,-12,-4,690,80,2.24,-12,-3,690,80,1.82,-12,-2,690,80,1.87,-12,-1,690,80,2.31,-12,1,690,80,2.33,-12,2,690,80,2.13,-12,3,690,80,1.66,-12,4,690,80,1.61,-12,5,690,80,1.52,-12,6,690,80,1.81,-12,7,690,80,2.13,-12,8,690,80,2.09,-12,9,690,80,1.55,-12,10,690,80,1.90,-12,11,690,80,1.82,-12,12,690,80,1.60,-12,13,690,80,1.74,-12,14,690,80,1.83,-12,15,690,80,1.63
-11,-15,690,80,1.77,-11,-14,690,80,1.71,-11,-13,690,80,2.24,-11,-12,690,80,1.85,-11,-11,690,80,2.45,-11,-10,690,80,2.31,-11,-9,690,80,1.58,-11,-8,690,80,1.57,-11,-7,690,80,1.55,-11,-6,690,80,2.01,-11,-5,690,80,1.88,-11,-4,690,80,1.61,-11,-3,690,80,2.00,-11,-2,690,80,1.67,-11,-1,690,80,2.11,-11,1,690,80,2.01,-11,2,690,80,1.79,-11,3,690,80,1.94,-11,4,690,80,2.46,-11,5,690,80,2.21,-11,6,690,80,2.02,-11,7,690,80,2.19,-11,8,690,80,1.76,-11,9,690,80,1.60,-11,10,690,80,2.39,-11,11,690,80,1.53,-11,12,690,80,1.80,-11,13,690,80,2.39,-11,14,690,80,1.78,-11,15,690,80,1.93
-10,-15,690,80,2.03,-10,-14,690,80,1.60,-10,-13,690,80,2.10,-10,-12,690,80,1.91,-10,-11,690,80,2.24,-10,-10,690,80,2.03,-10,-9,690,80,2.33,-10,-8,690,80,1.61,-10,-7,690,80,2.27,-10,-6,690,80,1.64,-10,-5,690,80,1.66,-10,-4,690,80,2.03,-10,-3,690,80,1.62,-10,-2,690,80,1.83,-10,-1,690,80,2.28,-10,1,690,80,2.09,-10,2,690,80,1.93,-10,3,690,80,2.17,-10,4,690,80,1.63,-10,5,690,80,2.19,-10,6,690,80,1.68,-10,7,690,80,1.64,-10,8,690,80,1.87,-10,9,690,80,1.78,-10,10,690,80,2.06,-10,11,690,80,1.54,-10,12,690,80,1.86,-10,13,690,80,1.83,-10,14,690,80,1.66,-10,15,690,80,2.46
-9,-15,690,80,2.24,-9,-14,690,80,2.00,-9,-13,690,80,2.15,-9,-12,690,80,1.72,-9,-11,690,80,2.32,-9,-10,690,80,1.61,-9,-9,690,80,2.43,-9,-8,690,80,1.82,-9,-7,690,80,2.37,-9,-6,690,80,2.13,-9,-5,690,80,1.54,-9,-4,690,80,2.30,-9,-3,690,80,1.97,-9,-2,690,80,1.62,-9,-1,690,80,1.56,-9,1,690,80,2.00,-9,2,690,80,2.07,-9,3,690,80,2.41,-9,4,690,80,2.43,-9,5,690,80,2.07,-9,6,690,80,2.37,-9,7,690,80,2.30,-9,8,690,80,2.49,-9,9,690,80,2.25,-9,10,690,80,2.12,-9,11,690,80,2.25,-9,12,690,80,1.92,-9,13,690,80,2.43,-9,14,690,80,2.04,-9,15,690,80,2.20
-8,-15,690,80,1.81,-8,-14,690,80,2.34,-8,-13,690,80,1.88,-8,-12,690,80,1.76,-8,-11,690,80,2.48,-8,-10,690,80,1.98,-8,-9,690,80,2.37,-8,-8,690,80,1.58,-8,-7,690,80,2.31,-8,-6,690,80,1.78,-8,-5,690,80,2.26,-8,-4,690,80,2.41,-8,-3,690,80,1.99,-8,-2,690,80,2.25,-8,-1,690,80,1.92,-8,1,690,80,1.61,-8,2,690,80,2.06,-8,3,690,80,1.54,-8,4,690,80,2.43,-8,5,690,80,2.35,-8,6,690,80,2.45,-8,7,690,80,1.63,-8,8,690,80,2.18,-8,9,690,80,2.12,-8,10,690,80,2.31,-8,11,690,80,2.28,-8,12,690,80,1.52,-8,13,690,80,1.66,-8,14,690,80,1.53,-8,15,690,80,1.59
-7,-15,690,80,2.23,-7,-14,690,80,2.41,-7,-13,690,80,1.74,-7,-12,690,80,2.48,-7,-11,690,80,1.55,-7,-10,690,80,2.35,-7,-9,690,80,2.23,-7,-8,690,80,1.52,-7,-7,690,80,2.31,-7,-6,690,80,1.95,-7,-5,690,80,2.40,-7,-4,690,80,2.49,-7,-3,690,80,1.85,-7,-2,690,80,2.21,-7,-1,690,80,1.73,-7,1,690,80,1.71,-7,2,690,80,2.26,-7,3,690,80,2.37,-7,4,690,80,1.55,-7,5,690,80,2.42,-7,6,690,80,2.49,-7,7,690,80,2.02,-7,8,690,80,2.02,-7,9,690,80,1.68,-7,10,690,80,2.19,-7,11,690,80,1.80,-7,12,690,80,2.40,-7,13,690,80,1.94,-7,14,690,80,1.84,-7,15,690,80,2.37
-6,-15,690,80,2.49,-6,-14,690,80,1.89,-6,-13,690,80,1.65,-6,-12,690,80,2.10,-6,-11,690,80,2.44,-6,-10,690,80,1.99,-6,-9,690,80,1.91,-6,-8,690,80,1.59,-6,-7,690,80,1.98,-6,-6,690,80,1.54,-6,-5,690,80,1.82,-6,-4,690,80,1.97,-6,-3,690,80,1.77,-6,-2,690,80,2.27,-6,-1,690,80,2.32,-6,1,690,80,2.03,-6,2,690,80,2.41,-6,3,690,80,1.76,-6,4,690,80,2.08,-6,5,690,80,2.42,-6,6,690,80,2.33,-6,7,690,80,2.30,-6,8,690,80,1.97,-6,9,690,80,2.28,-6,10,690,80,2.45,-6,11,690,80,1.74,-6,12,690,80,2.18,-6,13,690,80,1.72,-6,14,690,80,1.85,-6,15,690,80,2.15
